type,name,description,all_ingredients,main_ingredients,img_link,cost,weight,cuisine
Основные блюда,Космическая паста,"Паста, приготовленная с добавлением звездной пыли и солнечного света, создаёт неповторимый вкус, который перенесёт вас в галактические просторы.","Паста, томаты, базилик, оливковое масло, чеснок, соль, перец","Паста, томаты, базилик",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9A%D0%BE%D1%81%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%B0%D1%81%D1%82%D0%B0.jpg,550,315 г,Нейро кухня
Закуски,Лунные чипсы,"Хрустящие чипсы с морской солью, собранные под светом полнолуния, чтобы добавить немного магии к каждому укусу.","Картофель, растительное масло, морская соль","Картофель, растительное масло",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9B%D1%83%D0%BD%D0%BD%D1%8B%D0%B5%20%D1%87%D0%B8%D0%BF%D1%81%D1%8B.jpg,200,150 г,Нейро кухня
Десерты,Галактический торт,"Шоколадный торт с нежным кремом, созданный из кусочков комет, который растекается, как космические облака.","Мука, сахар, яйца, какао, сливки, ягоды","Шоколад, сливки",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%93%D0%B0%D0%BB%D0%B0%D0%BA%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D1%82%D0%BE%D1%80%D1%82.jpg,800,550 г,Нейро кухня
Супы,Суп из квантового бульона,"Овощной суп, сваренный в квантовом бульоне, наполненный энергией Вселенной и свежестью звездных огурцов.","Морковь, картофель, огурец, лук, зелень, специи, бульон","Морковь, картофель, огурец, бульон",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D1%83%D0%BF%20%D0%B8%D0%B7%20%D0%BA%D0%B2%D0%B0%D0%BD%D1%82%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE%20%D0%B1%D1%83%D0%BB%D1%8C%D0%BE%D0%BD%D0%B0.jpg,325,250 г,Нейро кухня
Закуски,Астральные крекеры,"Крекеры с травами, собранными на межгалактических полях.","Мука, оливковое масло, травы, соль","Мука, травы",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%90%D1%81%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5%20%D0%BA%D1%80%D0%B5%D0%BA%D0%B5%D1%80%D1%8B.jpg,150,100 г,Нейро кухня
Десерты,Сладость из нейронных клеток,"Пудинг из кокоса с манго, который активирует ваши нейроны и дарит сладкие мечты о других мирах.","Кокосовое молоко, манго, сахар, желатин","Кокос, манго",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D0%BB%D0%B0%D0%B4%D0%BE%D1%81%D1%82%D1%8C%20%D0%B8%D0%B7%20%D0%BD%D0%B5%D0%B9%D1%80%D0%BE%D0%BD%D0%BD%D1%8B%D1%85%20%D0%BA%D0%BB%D0%B5%D1%82%D0%BE%D0%BA.jpg,270,180 г,Нейро кухня
Основные блюда,Энергетическая пицца,"Пицца, заряженная энергией звёзд, с томатным соусом и овощами, которые светятся в темноте.","Томатный соус, сыр, перец, грибы, оливки","Томатный соус, сыр, грибы, оливки",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%AD%D0%BD%D0%B5%D1%80%D0%B3%D0%B5%D1%82%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D0%B8%D1%86%D1%86%D0%B0.jpg,630,370 г,Нейро кухня
Напитки,Небесный мусс,"Легкий мусс, созданный из сливок и ягод, который растекается на языке, как утренний туман на звёздных полях.","Сливки, ягоды, сахар, желатин","Сливки, ягоды",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%9D%D0%B5%D0%B1%D0%B5%D1%81%D0%BD%D1%8B%D0%B9%20%D0%BC%D1%83%D1%81%D1%81.jpg,290,200 мл,Нейро кухня
Салаты,Суперфуд из галактики,"Салат с киноа и черными бобами, в котором каждый ингредиент — это кусочек энергии из далёких миров.","Киноа, черные бобы, авокадо, помидоры, зелень, лимонный сок","Киноа, черные бобы, авокадо, помидоры",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%A1%D1%83%D0%BF%D0%B5%D1%80%D1%84%D1%83%D0%B4%20%D0%B8%D0%B7%20%D0%B3%D0%B0%D0%BB%D0%B0%D0%BA%D1%82%D0%B8%D0%BA%D0%B8.jpg,385,300 г,Нейро кухня
Салаты,Геометрический салат,"Салат, в котором форма и содержание гармонично сочетаются. Ингредиенты нарезаны геометрически точно, создавая визуальную симфонию вкуса и текстуры.","Кубики авокадо, дольки апельсинов, квадратики сыра фета, ломтики огурцов, микрозелень, оливковое масло, лимонный сок","Авокадо, апельсины, сыр фета, огурцы",https://storage.yandexcloud.net/memory-minder-images/dishes/%D0%93%D0%B5%D0%BE%D0%BC%D0%B5%D1%82%D1%80%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9%20%D1%81%D0%B0%D0%BB%D0%B0%D1%82.jpg,350,300 г,Нейро кухня
