type,name,desc,all_ingredients,main_ingredients,img_link,cost,weight,cuisine
Суп,Борщ,"Традиционный русский суп с насыщенным вкусом, приготовленный из свеклы, капусты, картофеля и мяса.","Свекла, капуста, картофель, морковь, лук, томатная паста, говядина, чеснок, лавровый лист, соль, перец, сметана","Свекла, капуста, картофель, говядина",,250,250,Русская кухня
Суп,Щи,Традиционные русские щи — густой суп на основе квашеной капусты с насыщенным вкусом и ароматом русского духа.,"Квашеная капуста, картофель, морковь, лук, томатная паста, мясо говядина, чеснок, лавровый лист, соль, перец, сметана","Квашеная капуста, картофель, морковь, говядина",,260,250,Русская кухня
Основное блюдо,Пельмени,"Традиционное русское блюдо — небольшие изделия из теста с мясной начинкой, подаваемые с маслом, сметаной или уксусом.","Мука, яйцо, вода, фарш (свинина/говядина), лук, соль, перец, масло, сметана","Мука, фарш, сметана",,390,310,Русская кухня
Основное блюдо,Ленивые голубцы,"Упрощённая версия классических голубцов — мясная начинка с капустой, смешанные вместе и запечённые в виде котлет.","Фарш (свинина/говядина), капуста, рис, лук, морковь, томатная паста, яйцо, мука, соль, перец, растительное масло","Фарш, капуста, рис",,470,380,Русская кухня
Основное блюдо,Гречка с грибами,"Простое и сытное блюдо русской кухни — гречневая крупа, приготовленная с обжаренными грибами и луком.","Гречневая крупа, шампионьоны, лук, растительное масло, соль, перец","Гречневая крупа, грибы, лук",,420,320,Русская кухня
Суп,Окрошка,Освежающий холодный суп на основе кваса или кефира с мелко нарезанными овощами и мясом.,"Квас или кефир, отварное мясо (говядина или курица), картофель, огурцы, редис, зелёный лук, укроп, яйца, горчица, хрен, соль, перец","Квас или кефир, мясо, картофель, огурцы, яйца, редис",,285,380,Русская кухня
Закуска,Чак-чак,"Традиционная татарская сладость, состоящая из обжаренных кусочков теста, склеенных медом.","Мука, яйца, мед, сахар, растительное масло, соль","Мука, яйца, мед",,190,160,Русская кухня
Основное блюдо,Жаркое по-домашнему,"Тушёное мясо с картофелем и овощами, приготовленное на медленном огне, с насыщенным вкусом и ароматом.","Говядина, картофель, морковь, лук, растительное масло, соль, перец, лавровый лист, чеснок","Говядина, картофель, морковь, лук",,520,360,Русская кухня
Салат,Оливье,"Классический новогодний салат с колбасой, картофелем, яйцами, огурцами и майонезом.","Колбаса варёная, картофель, яйца, огурцы свежие и маринованные, горошек консервированный, морковь, майонез, соль, перец","Колбаса, картофель, яйца, огурцы, горошек, майонез",,320,255,Русская кухня
Салат,Селёдка под шубой,"Слоёный салат с сельдью, свёклой, картофелем, морковью и майонезом, популярный на праздничных столах.","Сельдь, свёкла, картофель, морковь, репчатый лук, майонез, яйца, соль, перец","Сельдь, свёкла, картофель, морковь, майонез",,370,285,Русская кухня
Салат,Винегрет,"Традиционный русский салат из варёной свёклы, картофеля, моркови, солёных огурцов и квашеной капусты, заправленный растительным маслом.","Свёкла, картофель, морковь, солёные огурцы, квашеная капуста, репчатый лук, растительное масло, соль, перец","Свёкла, картофель, солёные огурцы, квашеная капуста",,180,210,Русская кухня
Салат,Мимоза,"Салат с консервированной рыбой, яйцами, картофелем, морковью и майонезом, получивший своё название за внешний вид, напоминающий весенние цветы мимозы.","Консервированная рыба, яйца, картофель, морковь, репчатый лук, майонез, соль, перец","Консервированная рыба, яйца, картофель, морковь, майонез",,270,250,Русская кухня
Закуска,Блины с икрой,"Традиционная русская закуска — тонкие блины, свернутые с красной икрой внутри.","Мука, молоко, яйца, растительное масло, красная икра, соль, сахар","Мука, молоко, яйца, икра",,220,230,Русская кухня
Напиток,Квас,"Традиционный славянский напиток, приготовленный путём брожения ржаного хлеба или муки с добавлением сахара и дрожжей.","Ржаная мука, сахар, дрожжи, вода, изюм (опционально)","Ржаная мука, сахар, дрожжи, вода",,170,300,Русская кухня
Напиток,Черничный морс,"Освежающий напиток, приготовленный из черники, воды и сахара, с насыщенным вкусом и ярким цветом.","Черника, вода, сахар","Черника, вода, сахар",,150,300,Русская кухня
Напиток,Клюквенный морс,"Освежающий напиток, приготовленный из клюквы, воды и сахара, с характерной кислинкой и ярким красным оттенком.","Клюква, вода, сахар","Клюква, вода, сахар",,150,300,Русская кухня
Напиток,Облепиховый морс,"Витаминный напиток, приготовленный из облепихи, воды и сахара, с приятным кисло-сладким вкусом и ярко-оранжевым цветом.","Облепиха, вода, сахар","Облепиха, вода, сахар",,170,300,Русская кухня
Напиток,Берёзовый сок,"Натуральный сок, добываемый из березы весной, с легким сладковатым вкусом и массой полезных веществ.",Березовый сок,Березовый сок,,120,150,Русская кухня
Основное блюдо,Русский Бургер,"Настоящий русский бургер, вдохновленный традиционными рецептами русской кухни. Сочная говяжья котлета, ароматная квашеная капуста, соленый огурец и нежный сыр между золотистыми булочками, смазанными домашним майонезом.","Говяжья котлета, булочка, квашеная капуста, соленые огурцы, сыр, домашний майонез, кетчуп, горчица, лук","Говяжья котлета, квашеная капуста, соленые огурцы, сыр, домашний майонез",,450,350,Русская кухня
Закуска,Сало с чесноком и зеленью,"Традиционная русская закуска — тонко нарезанное сало, приправленное измельчённым чесноком и свежей зеленью.","Сало, чеснок, укроп, петрушка, соль, чёрный молотый перец","Сало, чеснок, зелень",,210,190,Русская кухня
Закуска,Маринованные грибы,"Традиционная русская закуска — маринованные лесные грибы, особенно популярны опята и лисички. Подаются с луком и растительным маслом.","Грибы, уксус, сахар, соль, лавровый лист, черный перец горошком, растительное масло, лук","Грибы, уксус, растительное масло, лук",,280,320,Русская кухня
